dia;mes;año ;hora costo marginal;
8;2;2015;10;103.48
8;2;2015;11;101.633
8;2;2015;12;100.768
8;2;2015;13;102.456
8;2;2015;14;143.209
8;2;2015;15;137.285
8;2;2015;16;142.465
8;2;2015;17;142.678
8;2;2015;18;102.959
8;2;2015;19;100.032
8;2;2015;20;128.89
8;2;2015;21;133.553
8;2;2015;22;148.742
8;2;2015;23;142.203
8;2;2015;24;100.135
9;2;2015;1;82.316
9;2;2015;2;82.532
9;2;2015;3;74.572
9;2;2015;4;82.316
9;2;2015;5;75.242
9;2;2015;6;79.562
9;2;2015;7;82.532
9;2;2015;8;98.339
9;2;2015;9;142.678
9;2;2015;10;139.928
9;2;2015;11;139.968
9;2;2015;12;139.928
9;2;2015;13;139.928
9;2;2015;14;139.928
9;2;2015;15;139.948
9;2;2015;16;139.928
9;2;2015;17;139.928
9;2;2015;18;139.928
9;2;2015;19;139.928
9;2;2015;20;139.908
9;2;2015;21;139.928
9;2;2015;22;139.968
9;2;2015;23;138.235
9;2;2015;24;101.017
10;2;2015;1;73.755
10;2;2015;2;82.532
10;2;2015;3;82.316
10;2;2015;4;73.214
10;2;2015;5;74.082
10;2;2015;6;74.06
10;2;2015;7;82.316
10;2;2015;8;102.959
10;2;2015;9;124.786
10;2;2015;10;138.951
10;2;2015;11;139.928
10;2;2015;12;139.928
10;2;2015;13;139.948
10;2;2015;14;139.968
10;2;2015;15;139.948
10;2;2015;16;139.948
10;2;2015;17;139.928
10;2;2015;18;142.678
10;2;2015;19;142.678
10;2;2015;20;142.638
10;2;2015;21;142.465
10;2;2015;22;142.668
10;2;2015;23;142.668
10;2;2015;24;148.749
11;2;2015;1;98.647
11;2;2015;2;82.532
11;2;2015;3;82.532
11;2;2015;4;73.777
11;2;2015;5;74.138
11;2;2015;6;82.316
11;2;2015;7;82.316
11;2;2015;8;91.019
11;2;2015;9;139.948
11;2;2015;10;139.968
11;2;2015;11;139.948
11;2;2015;12;139.968
11;2;2015;13;139.928
11;2;2015;14;139.928
11;2;2015;15;139.948
11;2;2015;16;139.948
11;2;2015;17;139.928
11;2;2015;18;139.968
11;2;2015;19;139.968
11;2;2015;20;139.948
11;2;2015;21;139.968
11;2;2015;22;139.928
11;2;2015;23;139.908
11;2;2015;24;139.928
12;2;2015;1;101.71
12;2;2015;2;100.759
12;2;2015;3;100.344
12;2;2015;4;100.135
12;2;2015;5;103.717
12;2;2015;6;103.717
12;2;2015;7;90.972
12;2;2015;8;142.644
12;2;2015;9;139.928
12;2;2015;10;139.948
12;2;2015;11;139.928
12;2;2015;12;139.928
12;2;2015;13;139.948
12;2;2015;14;139.948
12;2;2015;15;139.948
12;2;2015;16;139.948
12;2;2015;17;139.948
12;2;2015;18;139.948
12;2;2015;19;139.948
12;2;2015;20;139.948
12;2;2015;21;139.928
12;2;2015;22;127.635
12;2;2015;23;137.092
12;2;2015;24;138.952
13;2;2015;1;82.532
13;2;2015;2;73.256
13;2;2015;3;75.099
13;2;2015;4;74.839
13;2;2015;5;82.316
13;2;2015;6;82.316
13;2;2015;7;82.316
13;2;2015;8;102.174
13;2;2015;9;139.928
13;2;2015;10;142.2
13;2;2015;11;143.913
13;2;2015;12;139.968
13;2;2015;13;139.928
13;2;2015;14;139.968
13;2;2015;15;139.948
13;2;2015;16;139.908
13;2;2015;17;139.948
13;2;2015;18;129.847
13;2;2015;19;100.101
13;2;2015;20;102.591
13;2;2015;21;103.075
13;2;2015;22;102.936
13;2;2015;23;82.316
13;2;2015;24;82.316
14;2;2015;1;101.176
14;2;2015;2;85.448
14;2;2015;3;85.448
14;2;2015;4;85.448
14;2;2015;5;85.448
14;2;2015;6;85.448
14;2;2015;7;85.448
14;2;2015;8;81.675
14;2;2015;9;81.675
14;2;2015;10;81.675
14;2;2015;11;85.446
14;2;2015;12;85.446
14;2;2015;13;85.446
14;2;2015;14;85.446
14;2;2015;15;85.446
14;2;2015;16;85.446
14;2;2015;17;85.446
14;2;2015;18;85.446
14;2;2015;19;85.446
14;2;2015;20;85.446
14;2;2015;21;102.261
